person,mean_all,weighted_mean,core_percentile_40,largest_cluster_center,core_percentile_40_norm,largest_cluster_center_norm,ensemble_score
Từ Hy Viên,-0.01938212,0.65120983,0.64571893,0.36769068,1.0,0.7119914163734555,0.8991969957307094
Kim Ji Won,-0.04709012,0.44403884,0.5121995,0.633216,0.8975053539518253,0.8788071631452895,0.8909609871695378
Angel Baby,0.049196932,0.42715508,0.42266074,0.69500315,0.828771960513938,0.9176248155189063,0.859870459765677
Bae Suzy,-0.022205984,0.07376522,0.5033559,0.43668902,0.890716666703897,0.7553394843208622,0.8433346528698348
Hashimoto Kana,-0.028157722,0.085852355,0.39564386,0.6313535,0.8080327650805391,0.8776370512766266,0.8323942652491698
Lý Gia Hân,-0.0010865113,0.43829584,0.47408453,0.44486532,0.8682468380992127,0.7604762283056941,0.8305271246714812
Can Đình ĐÌnh,-0.13601768,0.11385722,0.24314892,0.82612205,0.6909717882666204,1.0,0.7991316623733032
Trần Hồng,0.06401403,0.1972466,0.35087156,0.5663157,0.7736638268573705,0.8367771845965029,0.7957535020660668
Kim Tae Hee,-0.04775879,0.22832721,0.33422062,0.5920274,0.7608819253643114,0.8529305082654974,0.7930989293797265
Triệu Lệ Dĩnh,0.004247169,0.19523123,0.36913133,0.45906168,0.7876807280909294,0.7693950628441169,0.7812807452545449
Cổ Lực Na Trát,0.13728334,0.09363663,0.21004283,0.7319212,0.6655582812093404,0.9408185059741514,0.7618993598770243
Mai Davika,0.17469007,0.11517022,0.4799053,0.098468006,0.8727150848620834,0.5428528144080381,0.7572632902031676
Vạn Thiến,0.02658207,0.102461174,0.16738822,0.78916746,0.6328149632197942,0.9767833533634497,0.7532038997700736
Lưu Tâm Du,-0.068573855,0.35677943,0.28001487,0.51416147,0.7192715083633862,0.80401139478497,0.7489304686109406
Bạch Băng,-0.07431871,0.2724956,0.42825985,0.12902772,0.8330700525417034,0.5620518930949358,0.7382136967353348
Park Jihyun,-0.03511791,0.39428836,0.26393166,0.4946416,0.7069254182380129,0.7917480758256363,0.7366133483936811
Đồng Lệ Á,0.10844737,0.060499918,0.20561786,0.61630195,0.662161504171543,0.8681809453454724,0.7342683085824182
Trương Vũ Kỳ,0.106728986,0.4270853,0.1359191,0.73546976,0.6086580572485245,0.943047881637326,0.725694495784605
Trần Đức Dung,-0.0018643367,0.7385156,0.26853687,0.42807838,0.710460554427012,0.7499298671070181,0.7242748138650141
Chương Nhược Nam,0.23404785,0.063945115,0.19888096,0.5591637,0.6569900008108565,0.8322839550208369,0.7183428847843496
Lily Collins,-0.011090106,0.27694595,0.17757577,0.598532,0.6406353181400338,0.8570170100968559,0.7163689103249216
Vương Tử Thuần,0.08705223,0.060301937,0.1873386,0.5701577,0.6481296416649208,0.8391909133478603,0.7150010867539497
Đại Lộ Oa,0.161144,0.097839065,0.3443205,0.21209514,0.7686349814231115,0.6142388321774669,0.7145963291871359
Quan Chi Lâm,0.0005111183,0.06930356,0.22490904,0.44582957,0.6769701553614981,0.7610820164234703,0.7064093067331884
Thu Hà,0.027002232,0.45270455,0.55961615,-0.31370834,0.9339041968658505,0.283903856321194,0.7064040776752207
Phạm Băng Băng,0.07006506,0.066200905,0.29113433,0.28490868,0.7278072332159177,0.659983791830282,0.7040690287309451
Trương Hinh Dư,0.0701951,0.17568074,0.10800074,0.69802535,0.5872268511203564,0.919523506573657,0.7035306805290116
Hong Hwa-yeon,0.08960262,0.036729705,0.3592693,0.12781405,0.780110254833468,0.5612894073651961,0.7035229582195728
Tưởng Cần Cần,0.03980127,0.0073231347,0.25029093,0.34742904,0.6964542696329843,0.6992620819076424,0.6974370039291147
Châu Huệ Mẫn,-0.029485129,0.2545508,0.41328603,-0.07216513,0.8215755728177481,0.43565289085325276,0.6865026341301748
Lưu Thi Thi,-0.17394245,0.0039266143,0.06664996,0.706968,0.5554844031491813,0.9251417084003949,0.6848644599871061
Mạnh Tử Nghĩa,0.18144837,0.31822395,0.12572403,0.562847,0.6008319296872672,0.8345979808172646,0.6826500475827663
Trương Mẫn,-0.07406484,0.4953742,0.16253144,0.46950313,0.6290867122301529,0.775954882748037,0.6804905719114123
Dương Mịch,0.065400094,-0.021891166,0.24254861,0.28290176,0.6905109672387806,0.6587229483878889,0.6793851606409684
Alesandrova Marina,0.17644544,-0.043538205,0.3677196,-0.020906214,0.786597029885615,0.46785620144997747,0.6750377399331419
Tôn Nhất Ninh,0.08468502,0.3835746,0.09828228,0.58148986,0.5797665877127508,0.846310320012874,0.6730568940177939
Vương Sở Nhiên,0.0684808,-0.025420647,0.0060307863,0.7785276,0.5089507956276819,0.9700988827771878,0.670352626130009
Lý Uyển Đát,-0.14833483,0.120181605,0.064495794,0.5841981,0.5538307825360691,0.8480117663308272,0.6567941268642344
Tưởng Hân,-0.27208585,-0.014099153,-0.008703255,0.7445677,0.4976403792493115,0.9487636440933711,0.6555335219447324
Ozawa Mayu,0.17219293,0.12961844,0.33963904,-0.07950567,0.7650413128035803,0.4310412114028391,0.6481412773133209
Vương Tổ Hiền,0.13270116,0.5749657,0.3592132,-0.13858494,0.7800671903173649,0.3939247791779017,0.6449173464185528
Son Ye-jin,-0.03524805,-0.09867157,0.22776444,0.14580533,0.6791620701436833,0.5725923927399286,0.6418626830523692
Ân Đào,-0.014515872,0.16971393,0.0879534,0.46218482,0.5718377424527459,0.7713571692502893,0.6416695418318861
Lưu Hạo Tồn,0.12367213,0.023202661,0.167903,0.23857749,0.6332101281324417,0.6308763151546952,0.6323932935902304
Tần Lam,0.14283955,0.6551202,0.30799145,-0.10761921,0.7407474064011357,0.413378936597936,0.6261684419700158
Daran Tasha,-0.022524469,-0.26139244,0.11684495,0.31572545,0.5940160066277289,0.6793443654307427,0.6238809322087837
Shin Se-kyung,0.00697348,0.29599875,0.15286703,0.23268604,0.6216679396798623,0.6271750235742203,0.6235954190428876
Han Hyo-joo,-0.1420394,0.124427125,0.2532412,-0.013308252,0.6987190102733282,0.472629605752716,0.619587718691114
Yui Asakura,-0.04789813,0.040105306,0.116612285,0.28885356,0.5938374040316662,0.6624621547341486,0.617856066777535
Kim Yoo-jung,0.06416742,0.31215063,0.2748075,-0.07689343,0.715274131015446,0.4326823459144075,0.6163670062300826
